"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMP","TOT","PC_WKGPOP","A","2000",69.09614,
"AUS","EMP","TOT","PC_WKGPOP","A","2001",69.00098,
"AUS","EMP","TOT","PC_WKGPOP","A","2002",69.35914,
"AUS","EMP","TOT","PC_WKGPOP","A","2003",70.01125,
"AUS","EMP","TOT","PC_WKGPOP","A","2004",70.29926,
"AUS","EMP","TOT","PC_WKGPOP","A","2005",71.54403,
"AUS","EMP","TOT","PC_WKGPOP","A","2006",72.12262,
"AUS","EMP","TOT","PC_WKGPOP","A","2007",72.80006,
"AUS","EMP","TOT","PC_WKGPOP","A","2008",73.20431,
"AUS","EMP","TOT","PC_WKGPOP","A","2009",72.05107,
"AUS","EMP","TOT","PC_WKGPOP","A","2010",72.37024,
"AUS","EMP","TOT","PC_WKGPOP","A","2011",72.65837,
"AUS","EMP","TOT","PC_WKGPOP","A","2012",72.34915,
"AUS","EMP","TOT","PC_WKGPOP","A","2013",71.98106,
"AUS","EMP","TOT","PC_WKGPOP","A","2014",71.57613,
"AUS","EMP","TOT","PC_WKGPOP","A","2015",72.15298,
"AUT","EMP","TOT","PC_WKGPOP","A","2000",68.5,
"AUT","EMP","TOT","PC_WKGPOP","A","2001",68.375,
"AUT","EMP","TOT","PC_WKGPOP","A","2002",68.75,
"AUT","EMP","TOT","PC_WKGPOP","A","2003",68.95,
"AUT","EMP","TOT","PC_WKGPOP","A","2004",66.525,
"AUT","EMP","TOT","PC_WKGPOP","A","2005",67.4,
"AUT","EMP","TOT","PC_WKGPOP","A","2006",68.575,
"AUT","EMP","TOT","PC_WKGPOP","A","2007",69.875,
"AUT","EMP","TOT","PC_WKGPOP","A","2008",70.825,
"AUT","EMP","TOT","PC_WKGPOP","A","2009",70.325,
"AUT","EMP","TOT","PC_WKGPOP","A","2010",70.775,
"AUT","EMP","TOT","PC_WKGPOP","A","2011",71.1,
"AUT","EMP","TOT","PC_WKGPOP","A","2012",71.425,
"AUT","EMP","TOT","PC_WKGPOP","A","2013",71.4,
"AUT","EMP","TOT","PC_WKGPOP","A","2014",71.075,
"AUT","EMP","TOT","PC_WKGPOP","A","2015",71.1,
"BEL","EMP","TOT","PC_WKGPOP","A","2000",60.525,
"BEL","EMP","TOT","PC_WKGPOP","A","2001",59.95,
"BEL","EMP","TOT","PC_WKGPOP","A","2002",59.9,
"BEL","EMP","TOT","PC_WKGPOP","A","2003",59.6,
"BEL","EMP","TOT","PC_WKGPOP","A","2004",60.35,
"BEL","EMP","TOT","PC_WKGPOP","A","2005",61.075,
"BEL","EMP","TOT","PC_WKGPOP","A","2006",61,
"BEL","EMP","TOT","PC_WKGPOP","A","2007",62.025,
"BEL","EMP","TOT","PC_WKGPOP","A","2008",62.4,
"BEL","EMP","TOT","PC_WKGPOP","A","2009",61.6,
"BEL","EMP","TOT","PC_WKGPOP","A","2010",62.025,
"BEL","EMP","TOT","PC_WKGPOP","A","2011",61.925,
"BEL","EMP","TOT","PC_WKGPOP","A","2012",61.825,
"BEL","EMP","TOT","PC_WKGPOP","A","2013",61.8,
"BEL","EMP","TOT","PC_WKGPOP","A","2014",61.9,
"BEL","EMP","TOT","PC_WKGPOP","A","2015",61.8,
"CAN","EMP","TOT","PC_WKGPOP","A","2000",70.9,
"CAN","EMP","TOT","PC_WKGPOP","A","2001",70.79166,
"CAN","EMP","TOT","PC_WKGPOP","A","2002",71.41666,
"CAN","EMP","TOT","PC_WKGPOP","A","2003",72.18333,
"CAN","EMP","TOT","PC_WKGPOP","A","2004",72.45,
"CAN","EMP","TOT","PC_WKGPOP","A","2005",72.44167,
"CAN","EMP","TOT","PC_WKGPOP","A","2006",72.75833,
"CAN","EMP","TOT","PC_WKGPOP","A","2007",73.5,
"CAN","EMP","TOT","PC_WKGPOP","A","2008",73.525,
"CAN","EMP","TOT","PC_WKGPOP","A","2009",71.38333,
"CAN","EMP","TOT","PC_WKGPOP","A","2010",71.475,
"CAN","EMP","TOT","PC_WKGPOP","A","2011",71.84167,
"CAN","EMP","TOT","PC_WKGPOP","A","2012",72.05,
"CAN","EMP","TOT","PC_WKGPOP","A","2013",72.44167,
"CAN","EMP","TOT","PC_WKGPOP","A","2014",72.30833,
"CAN","EMP","TOT","PC_WKGPOP","A","2015",72.50833,
"CZE","EMP","TOT","PC_WKGPOP","A","2000",64.975,
"CZE","EMP","TOT","PC_WKGPOP","A","2001",65.025,
"CZE","EMP","TOT","PC_WKGPOP","A","2002",65.425,
"CZE","EMP","TOT","PC_WKGPOP","A","2003",64.725,
"CZE","EMP","TOT","PC_WKGPOP","A","2004",64.175,
"CZE","EMP","TOT","PC_WKGPOP","A","2005",64.8,
"CZE","EMP","TOT","PC_WKGPOP","A","2006",65.275,
"CZE","EMP","TOT","PC_WKGPOP","A","2007",66.075,
"CZE","EMP","TOT","PC_WKGPOP","A","2008",66.55,
"CZE","EMP","TOT","PC_WKGPOP","A","2009",65.375,
"CZE","EMP","TOT","PC_WKGPOP","A","2010",64.975,
"CZE","EMP","TOT","PC_WKGPOP","A","2011",65.725,
"CZE","EMP","TOT","PC_WKGPOP","A","2012",66.55,
"CZE","EMP","TOT","PC_WKGPOP","A","2013",67.725,
"CZE","EMP","TOT","PC_WKGPOP","A","2014",68.975,
"CZE","EMP","TOT","PC_WKGPOP","A","2015",70.225,
"DNK","EMP","TOT","PC_WKGPOP","A","2000",76.25,
"DNK","EMP","TOT","PC_WKGPOP","A","2001",76.2,
"DNK","EMP","TOT","PC_WKGPOP","A","2002",75.875,
"DNK","EMP","TOT","PC_WKGPOP","A","2003",75.125,
"DNK","EMP","TOT","PC_WKGPOP","A","2004",75.675,
"DNK","EMP","TOT","PC_WKGPOP","A","2005",75.9,
"DNK","EMP","TOT","PC_WKGPOP","A","2006",77.375,
"DNK","EMP","TOT","PC_WKGPOP","A","2007",77,
"DNK","EMP","TOT","PC_WKGPOP","A","2008",77.85,
