"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HRWKD","TOT","HR_WKD","A","2000",1779,
"AUS","HRWKD","TOT","HR_WKD","A","2001",1737,
"AUS","HRWKD","TOT","HR_WKD","A","2002",1732,
"AUS","HRWKD","TOT","HR_WKD","A","2003",1736,
"AUS","HRWKD","TOT","HR_WKD","A","2004",1734,
"AUS","HRWKD","TOT","HR_WKD","A","2005",1729,
"AUS","HRWKD","TOT","HR_WKD","A","2006",1721,
"AUS","HRWKD","TOT","HR_WKD","A","2007",1712,
"AUS","HRWKD","TOT","HR_WKD","A","2008",1717,
"AUS","HRWKD","TOT","HR_WKD","A","2009",1690,
"AUS","HRWKD","TOT","HR_WKD","A","2010",1692,
"AUS","HRWKD","TOT","HR_WKD","A","2011",1698,
"AUS","HRWKD","TOT","HR_WKD","A","2012",1689,
"AUS","HRWKD","TOT","HR_WKD","A","2013",1685,
"AUS","HRWKD","TOT","HR_WKD","A","2014",1681,
"AUS","HRWKD","TOT","HR_WKD","A","2015",1682,
"AUT","HRWKD","TOT","HR_WKD","A","2000",1807,
"AUT","HRWKD","TOT","HR_WKD","A","2001",1795,
"AUT","HRWKD","TOT","HR_WKD","A","2002",1792,
"AUT","HRWKD","TOT","HR_WKD","A","2003",1784,
"AUT","HRWKD","TOT","HR_WKD","A","2004",1787,
"AUT","HRWKD","TOT","HR_WKD","A","2005",1764,
"AUT","HRWKD","TOT","HR_WKD","A","2006",1746,
"AUT","HRWKD","TOT","HR_WKD","A","2007",1736,
"AUT","HRWKD","TOT","HR_WKD","A","2008",1729,
"AUT","HRWKD","TOT","HR_WKD","A","2009",1673,
"AUT","HRWKD","TOT","HR_WKD","A","2010",1669,
"AUT","HRWKD","TOT","HR_WKD","A","2011",1676,
"AUT","HRWKD","TOT","HR_WKD","A","2012",1653,
"AUT","HRWKD","TOT","HR_WKD","A","2013",1638,
"AUT","HRWKD","TOT","HR_WKD","A","2014",1628,
"AUT","HRWKD","TOT","HR_WKD","A","2015",1608,
"BEL","HRWKD","TOT","HR_WKD","A","2000",1595,
"BEL","HRWKD","TOT","HR_WKD","A","2001",1588,
"BEL","HRWKD","TOT","HR_WKD","A","2002",1583,
"BEL","HRWKD","TOT","HR_WKD","A","2003",1578,
"BEL","HRWKD","TOT","HR_WKD","A","2004",1573,
"BEL","HRWKD","TOT","HR_WKD","A","2005",1565,
"BEL","HRWKD","TOT","HR_WKD","A","2006",1572,
"BEL","HRWKD","TOT","HR_WKD","A","2007",1577,
"BEL","HRWKD","TOT","HR_WKD","A","2008",1570,
"BEL","HRWKD","TOT","HR_WKD","A","2009",1548,
"BEL","HRWKD","TOT","HR_WKD","A","2010",1546,
"BEL","HRWKD","TOT","HR_WKD","A","2011",1560,
"BEL","HRWKD","TOT","HR_WKD","A","2012",1560,
"BEL","HRWKD","TOT","HR_WKD","A","2013",1558,
"BEL","HRWKD","TOT","HR_WKD","A","2014",1556,
"BEL","HRWKD","TOT","HR_WKD","A","2015",1551,
"CAN","HRWKD","TOT","HR_WKD","A","2000",1779,
"CAN","HRWKD","TOT","HR_WKD","A","2001",1771,
"CAN","HRWKD","TOT","HR_WKD","A","2002",1754,
"CAN","HRWKD","TOT","HR_WKD","A","2003",1746,
"CAN","HRWKD","TOT","HR_WKD","A","2004",1759,
"CAN","HRWKD","TOT","HR_WKD","A","2005",1747,
"CAN","HRWKD","TOT","HR_WKD","A","2006",1745,
"CAN","HRWKD","TOT","HR_WKD","A","2007",1741,
"CAN","HRWKD","TOT","HR_WKD","A","2008",1735,
"CAN","HRWKD","TOT","HR_WKD","A","2009",1701,
"CAN","HRWKD","TOT","HR_WKD","A","2010",1703,
"CAN","HRWKD","TOT","HR_WKD","A","2011",1700,
"CAN","HRWKD","TOT","HR_WKD","A","2012",1713,
"CAN","HRWKD","TOT","HR_WKD","A","2013",1707,
"CAN","HRWKD","TOT","HR_WKD","A","2014",1704,
"CAN","HRWKD","TOT","HR_WKD","A","2015",1707,
"CZE","HRWKD","TOT","HR_WKD","A","2000",1896,
"CZE","HRWKD","TOT","HR_WKD","A","2001",1818,
"CZE","HRWKD","TOT","HR_WKD","A","2002",1816,
"CZE","HRWKD","TOT","HR_WKD","A","2003",1806,
"CZE","HRWKD","TOT","HR_WKD","A","2004",1817,
"CZE","HRWKD","TOT","HR_WKD","A","2005",1817,
"CZE","HRWKD","TOT","HR_WKD","A","2006",1799,
"CZE","HRWKD","TOT","HR_WKD","A","2007",1784,
"CZE","HRWKD","TOT","HR_WKD","A","2008",1790,
"CZE","HRWKD","TOT","HR_WKD","A","2009",1779,
"CZE","HRWKD","TOT","HR_WKD","A","2010",1800,
"CZE","HRWKD","TOT","HR_WKD","A","2011",1806,
"CZE","HRWKD","TOT","HR_WKD","A","2012",1776,
"CZE","HRWKD","TOT","HR_WKD","A","2013",1763,
"CZE","HRWKD","TOT","HR_WKD","A","2014",1777,
"CZE","HRWKD","TOT","HR_WKD","A","2015",1756,
"DNK","HRWKD","TOT","HR_WKD","A","2000",1466,
"DNK","HRWKD","TOT","HR_WKD","A","2001",1469,
"DNK","HRWKD","TOT","HR_WKD","A","2002",1463,
"DNK","HRWKD","TOT","HR_WKD","A","2003",1458,
"DNK","HRWKD","TOT","HR_WKD","A","2004",1458,
"DNK","HRWKD","TOT","HR_WKD","A","2005",1451,
"DNK","HRWKD","TOT","HR_WKD","A","2006",1456,
"DNK","HRWKD","TOT","HR_WKD","A","2007",1433,
"DNK","HRWKD","TOT","HR_WKD","A","2008",1430,
"DNK","HRWKD","TOT","HR_WKD","A","2009",1417,
"DNK","HRWKD","TOT","HR_WKD","A","2010",1422,
"DNK","HRWKD","TOT","HR_WKD","A","2011",1437,
"DNK","HRWKD","TOT","HR_WKD","A","2012",1423,
"DNK","HRWKD","TOT","HR_WKD","A","2013",1426,
"DNK","HRWKD","TOT","HR_WKD","A","2014",1414,
"DNK","HRWKD","TOT","HR_WKD","A","2015",1412,
"FIN","HRWKD","TOT","HR_WKD","A","2000",1742,
"FIN","HRWKD","TOT","HR_WKD","A","2001",1723,
"FIN","HRWKD","TOT","HR_WKD","A","2002",1714,
"FIN","HRWKD","TOT","HR_WKD","A","2003",1705,
"FIN","HRWKD","TOT","HR_WKD","A","2004",1707,
"FIN","HRWKD","TOT","HR_WKD","A","2005",1697,
"FIN","HRWKD","TOT","HR_WKD","A","2006",1693,
"FIN","HRWKD","TOT","HR_WKD","A","2007",1691,
"FIN","HRWKD","TOT","HR_WKD","A","2008",1685,
"FIN","HRWKD","TOT","HR_WKD","A","2009",1661,
"FIN","HRWKD","TOT","HR_WKD","A","2010",1668,
"FIN","HRWKD","TOT","HR_WKD","A","2011",1662,
"FIN","HRWKD","TOT","HR_WKD","A","2012",1650,
"FIN","HRWKD","TOT","HR_WKD","A","2013",1640,
"FIN","HRWKD","TOT","HR_WKD","A","2014",1636,
"FIN","HRWKD","TOT","HR_WKD","A","2015",1641,
"FRA","HRWKD","TOT","HR_WKD","A","2000",1535,
"FRA","HRWKD","TOT","HR_WKD","A","2001",1526,
"FRA","HRWKD","TOT","HR_WKD","A","2002",1487,
"FRA","HRWKD","TOT","HR_WKD","A","2003",1484,
"FRA","HRWKD","TOT","HR_WKD","A","2004",1513,
"FRA","HRWKD","TOT","HR_WKD","A","2005",1507,
"FRA","HRWKD","TOT","HR_WKD","A","2006",1484,
"FRA","HRWKD","TOT","HR_WKD","A","2007",1500,
"FRA","HRWKD","TOT","HR_WKD","A","2008",1507,
"FRA","HRWKD","TOT","HR_WKD","A","2009",1489,
"FRA","HRWKD","TOT","HR_WKD","A","2010",1494,
"FRA","HRWKD","TOT","HR_WKD","A","2011",1496,
"FRA","HRWKD","TOT","HR_WKD","A","2012",1490,
"FRA","HRWKD","TOT","HR_WKD","A","2013",1474,
"FRA","HRWKD","TOT","HR_WKD","A","2014",1473,
"FRA","HRWKD","TOT","HR_WKD","A","2015",1482,
"DEU","HRWKD","TOT","HR_WKD","A","2000",1452,
"DEU","HRWKD","TOT","HR_WKD","A","2001",1442,
"DEU","HRWKD","TOT","HR_WKD","A","2002",1431,
"DEU","HRWKD","TOT","HR_WKD","A","2003",1425,
"DEU","HRWKD","TOT","HR_WKD","A","2004",1422,
"DEU","HRWKD","TOT","HR_WKD","A","2005",1411,
"DEU","HRWKD","TOT","HR_WKD","A","2006",1425,
"DEU","HRWKD","TOT","HR_WKD","A","2007",1424,
"DEU","HRWKD","TOT","HR_WKD","A","2008",1418,
"DEU","HRWKD","TOT","HR_WKD","A","2009",1373,
"DEU","HRWKD","TOT","HR_WKD","A","2010",1390,
"DEU","HRWKD","TOT","HR_WKD","A","2011",1393,
"DEU","HRWKD","TOT","HR_WKD","A","2012",1375,
"DEU","HRWKD","TOT","HR_WKD","A","2013",1362,
"DEU","HRWKD","TOT","HR_WKD","A","2014",1368,
"DEU","HRWKD","TOT","HR_WKD","A","2015",1368,
"GRC","HRWKD","TOT","HR_WKD","A","2000",2108,
"GRC","HRWKD","TOT","HR_WKD","A","2001",2101,
"GRC","HRWKD","TOT","HR_WKD","A","2002",2093,
"GRC","HRWKD","TOT","HR_WKD","A","2003",2091,
"GRC","HRWKD","TOT","HR_WKD","A","2004",2083,
"GRC","HRWKD","TOT","HR_WKD","A","2005",2136,
"GRC","HRWKD","TOT","HR_WKD","A","2006",2125,
"GRC","HRWKD","TOT","HR_WKD","A","2007",2111,
"GRC","HRWKD","TOT","HR_WKD","A","2008",2106,
"GRC","HRWKD","TOT","HR_WKD","A","2009",2081,
"GRC","HRWKD","TOT","HR_WKD","A","2010",2020,
"GRC","HRWKD","TOT","HR_WKD","A","2011",2038,
"GRC","HRWKD","TOT","HR_WKD","A","2012",2055,
"GRC","HRWKD","TOT","HR_WKD","A","2013",2059,
"GRC","HRWKD","TOT","HR_WKD","A","2014",2022,
"GRC","HRWKD","TOT","HR_WKD","A","2015",2033,
"HUN","HRWKD","TOT","HR_WKD","A","2000",1845,
"HUN","HRWKD","TOT","HR_WKD","A","2001",1809,
"HUN","HRWKD","TOT","HR_WKD","A","2002",1820,
"HUN","HRWKD","TOT","HR_WKD","A","2003",1795,
"HUN","HRWKD","TOT","HR_WKD","A","2004",1802,
"HUN","HRWKD","TOT","HR_WKD","A","2005",1803,
"HUN","HRWKD","TOT","HR_WKD","A","2006",1800,
"HUN","HRWKD","TOT","HR_WKD","A","2007",1795,
"HUN","HRWKD","TOT","HR_WKD","A","2008",1798,
"HUN","HRWKD","TOT","HR_WKD","A","2009",1781,
"HUN","HRWKD","TOT","HR_WKD","A","2010",1777,
"HUN","HRWKD","TOT","HR_WKD","A","2011",1770,
"HUN","HRWKD","TOT","HR_WKD","A","2012",1750,
"HUN","HRWKD","TOT","HR_WKD","A","2013",1745,
"HUN","HRWKD","TOT","HR_WKD","A","2014",1752,
"HUN","HRWKD","TOT","HR_WKD","A","2015",1746,
"ISL","HRWKD","TOT","HR_WKD","A","2000",2040,
"ISL","HRWKD","TOT","HR_WKD","A","2001",2053,
"ISL","HRWKD","TOT","HR_WKD","A","2002",2012,
"ISL","HRWKD","TOT","HR_WKD","A","2003",1972,
"ISL","HRWKD","TOT","HR_WKD","A","2004",1980,
"ISL","HRWKD","TOT","HR_WKD","A","2005",1970,
"ISL","HRWKD","TOT","HR_WKD","A","2006",1958,
"ISL","HRWKD","TOT","HR_WKD","A","2007",1932,
"ISL","HRWKD","TOT","HR_WKD","A","2008",1934,
"ISL","HRWKD","TOT","HR_WKD","A","2009",1849,
"ISL","HRWKD","TOT","HR_WKD","A","2010",1834,
"ISL","HRWKD","TOT","HR_WKD","A","2011",1878,
"ISL","HRWKD","TOT","HR_WKD","A","2012",1853,
"ISL","HRWKD","TOT","HR_WKD","A","2013",1846,
"ISL","HRWKD","TOT","HR_WKD","A","2014",1864,
"ISL","HRWKD","TOT","HR_WKD","A","2015",1880,
"IRL","HRWKD","TOT","HR_WKD","A","2000",1933,
"IRL","HRWKD","TOT","HR_WKD","A","2001",1924,
"IRL","HRWKD","TOT","HR_WKD","A","2002",1904,
"IRL","HRWKD","TOT","HR_WKD","A","2003",1887,
"IRL","HRWKD","TOT","HR_WKD","A","2004",1875,
"IRL","HRWKD","TOT","HR_WKD","A","2005",1883,
"IRL","HRWKD","TOT","HR_WKD","A","2006",1879,
"IRL","HRWKD","TOT","HR_WKD","A","2007",1865,
"IRL","HRWKD","TOT","HR_WKD","A","2008",1844,
"IRL","HRWKD","TOT","HR_WKD","A","2009",1812,
"IRL","HRWKD","TOT","HR_WKD","A","2010",1801,
"IRL","HRWKD","TOT","HR_WKD","A","2011",1801,
"IRL","HRWKD","TOT","HR_WKD","A","2012",1806,
"IRL","HRWKD","TOT","HR_WKD","A","2013",1815,
"IRL","HRWKD","TOT","HR_WKD","A","2014",1821,
"IRL","HRWKD","TOT","HR_WKD","A","2015",1820,
"ITA","HRWKD","TOT","HR_WKD","A","2000",1851,
"ITA","HRWKD","TOT","HR_WKD","A","2001",1838,
"ITA","HRWKD","TOT","HR_WKD","A","2002",1827,
"ITA","HRWKD","TOT","HR_WKD","A","2003",1816,
"ITA","HRWKD","TOT","HR_WKD","A","2004",1815,
"ITA","HRWKD","TOT","HR_WKD","A","2005",1812,
"ITA","HRWKD","TOT","HR_WKD","A","2006",1813,
"ITA","HRWKD","TOT","HR_WKD","A","2007",1818,
"ITA","HRWKD","TOT","HR_WKD","A","2008",1807,
"ITA","HRWKD","TOT","HR_WKD","A","2009",1776,
"ITA","HRWKD","TOT","HR_WKD","A","2010",1777,
"ITA","HRWKD","TOT","HR_WKD","A","2011",1773,
"ITA","HRWKD","TOT","HR_WKD","A","2012",1734,
"ITA","HRWKD","TOT","HR_WKD","A","2013",1720,
"ITA","HRWKD","TOT","HR_WKD","A","2014",1717,
"ITA","HRWKD","TOT","HR_WKD","A","2015",1723,
"JPN","HRWKD","TOT","HR_WKD","A","2000",1821,
"JPN","HRWKD","TOT","HR_WKD","A","2001",1809,
"JPN","HRWKD","TOT","HR_WKD","A","2002",1798,
"JPN","HRWKD","TOT","HR_WKD","A","2003",1799,
"JPN","HRWKD","TOT","HR_WKD","A","2004",1787,
"JPN","HRWKD","TOT","HR_WKD","A","2005",1775,
"JPN","HRWKD","TOT","HR_WKD","A","2006",1784,
"JPN","HRWKD","TOT","HR_WKD","A","2007",1785,
"JPN","HRWKD","TOT","HR_WKD","A","2008",1771,
"JPN","HRWKD","TOT","HR_WKD","A","2009",1714,
"JPN","HRWKD","TOT","HR_WKD","A","2010",1733,
"JPN","HRWKD","TOT","HR_WKD","A","2011",1728,
"JPN","HRWKD","TOT","HR_WKD","A","2012",1745,
"JPN","HRWKD","TOT","HR_WKD","A","2013",1734,
"JPN","HRWKD","TOT","HR_WKD","A","2014",1729,
"JPN","HRWKD","TOT","HR_WKD","A","2015",1719,
"KOR","HRWKD","TOT","HR_WKD","A","2000",2512,
"KOR","HRWKD","TOT","HR_WKD","A","2001",2499,
"KOR","HRWKD","TOT","HR_WKD","A","2002",2464,
"KOR","HRWKD","TOT","HR_WKD","A","2003",2424,
"KOR","HRWKD","TOT","HR_WKD","A","2004",2392,
"KOR","HRWKD","TOT","HR_WKD","A","2005",2351,
"KOR","HRWKD","TOT","HR_WKD","A","2006",2346,
"KOR","HRWKD","TOT","HR_WKD","A","2007",2306,
"KOR","HRWKD","TOT","HR_WKD","A","2008",2219,
